park,beautiful,amazing,great,awesome,worth,spectacular,stunning,best,wonderful,nice,fantastic,gorgeous,incredible,absolutely,natural,good,interesting,big,excellent,unique,favorite,south,early,magnificent,majestic,spending,average_spend,Scored Labels,
Arches National Park,0.183735,0.207101,0.232044,0.109756,0.122807,0.244444,0.310345,0.304348,0.25,0.068966,0.210526,0.235294,0.142857,0.26,0.098592,0.173913,0.026316,0.013699,0.05,0.15625,0.1875,0,0.195652,0.1,0.064516,162718.2,0.064103,154790.86455,
Indiana Dunes National Park,0.03012,0.005917,0.082873,0.012195,0,0,0,0.028986,0.045455,0.137931,0.026316,0,0,0,0.014085,0.26087,0,0,0.05,0,0,0,0,0,0,77852,0.012821,71820.592247,
Yosemite National Park,0.35241,0.150888,0.19337,0.207317,0.087719,0.311111,0.390805,0.391304,0.5,0.241379,0.421053,0.294118,0.238095,0.14,0.169014,0.347826,0.026316,0.013699,0.1,0.0625,0.083333,0,0.065217,0.266667,0.290323,449080.8,0.057692,426916.055359,
Great Basin National Park,0.018072,0.005917,0,0,0.070175,0,0.034483,0,0.022727,0.068966,0.052632,0,0,0.02,0,0.043478,0.052632,0,0,0,0.020833,0,0,0,0,8795,0.025641,19480.72143,
Haleakala National Park,0.063253,0.136095,0.121547,0.140244,0.342105,0.233333,0.091954,0.115942,0.136364,0.241379,0.052632,0.058824,0.095238,0.08,0,0.130435,0.131579,0,0.05,0.1875,0,0,0.347826,0.166667,0,47445.4,0.025641,852.166534,
Mammoth Cave National Park,0.021084,0.04142,0.237569,0.060976,0.061404,0.011111,0.022989,0.014493,0.181818,0.241379,0.052632,0,0,0,0.056338,0.26087,0.157895,0.082192,0.2,0.03125,0.020833,0,0.021739,0.033333,0,40429.6,0.038462,62288.478055,
Crater Lake National Park,0.13253,0.035503,0.088398,0.042683,0.061404,0.055556,0.195402,0.043478,0.113636,0.068966,0.026316,0.205882,0.142857,0.1,0.014085,0.130435,0.026316,0.013699,0,0.03125,0.020833,0,0.021739,0.133333,0.064516,62399,0.044872,59973.916985,
Olympic National Park,0.03012,0.014793,0.027624,0.018293,0.008772,0.011111,0.011494,0,0.022727,0,0,0.117647,0,0.02,0,0,0.026316,0.013699,0,0,0,0,0,0,0,263953.3,0.038462,265194.42641,
Denali National Park,0.192771,0.14497,0.209945,0.140244,0.04386,0.255556,0.137931,0.217391,0.295455,0.206897,0.157895,0.117647,0.02381,0.06,0.098592,0.26087,0.078947,0.013699,0.3,0.0625,0,0,0.021739,0.266667,0.290323,604881.9,0.647436,575929.422834,
Mammoth Cave National Park,0.072289,0.068047,0.320442,0.140244,0.105263,0.011111,0.011494,0.144928,0.181818,0.241379,0.026316,0,0.071429,0.04,0.140845,0.521739,0.342105,0.054795,0.35,0.15625,0.020833,0,0.021739,0,0,48145.5,0.038462,34256.562911,
Cuyahoga Valley National Park,0.045181,0.005917,0.138122,0.012195,0.008772,0,0,0.028986,0.045455,0.62069,0.026316,0,0,0,0,0.086957,0,0.013699,0.05,0,0,0,0,0,0,69728.2,0.00641,93850.032892,
Big Bend National Park,0.006024,0,0.016575,0.006098,0,0.022222,0,0.014493,0,0.068966,0,0,0,0,0,0,0,0,0,0,0.020833,0,0,0,0.032258,27185.4,0.044872,26013.421831,
Haleakala National Park,0.271084,0.307692,0.281768,0.170732,0.552632,0.355556,0.229885,0.072464,0.136364,0.206897,0.236842,0.117647,0.238095,0.1,0.014085,0.26087,0.184211,0,0,0.1875,0.083333,0,0.434783,0.133333,0.096774,69751.1,0.025641,84323.063804,
Katmai National Park,0,0.005917,0.005525,0,0,0,0,0.043478,0,0,0.026316,0,0,0,0,0.043478,0,0,0,0.03125,0,0,0,0,0,57513.1,0.910256,-24525.603703,
Congaree National Park,0.006024,0.005917,0.027624,0.006098,0.026316,0.011111,0,0.014493,0.045455,0.137931,0,0,0,0,0,0,0.026316,0,0,0.03125,0.020833,0.017857,0,0,0,5144,0.019231,-9625.515916,
Redwood National Park,0.036145,0.02071,0.016575,0.018293,0.017544,0.011111,0.011494,0.072464,0.068182,0.068966,0.026316,0,0.047619,0,0.014085,0,0,0.09589,0,0,0.020833,0,0,0.033333,0.032258,26322.4,0.025641,38153.774901,
Arches National Park,1,0.869822,1,0.646341,0.464912,0.966667,1,1,0.863636,1,1,1,0.833333,0.68,0.633803,1,0.342105,0.09589,0.7,1,1,0.008929,0.76087,0.566667,0.193548,188802.5,0.064103,229061.730648,
Sequoia National Park,0.003012,0.005917,0,0,0.008772,0.011111,0,0,0.022727,0,0,0,0,0.02,0,0,0,0.027397,0,0,0,0,0,0,0,95882.4,0.032051,73076.970377,
Zion National Park,0.024096,0.02071,0.022099,0.02439,0.017544,0.044444,0.011494,0.028986,0.022727,0.034483,0.026316,0,0,0.02,0,0,0,0,0,0.03125,0.020833,0,0,0,0,246236,0.025641,203461.244665,
Olympic National Park,0.018072,0,0.01105,0.012195,0,0,0,0.014493,0.022727,0,0,0,0.02381,0,0.028169,0,0,0,0,0.03125,0,0,0,0,0.032258,220037.3,0.038462,257408.343191,
Carlsbad Caverns National Park,0.021084,0.044379,0.038674,0.030488,0.061404,0.022222,0.011494,0.043478,0.045455,0.103448,0.157895,0.029412,0.071429,0,0.014085,0,0.052632,0.219178,0,0,0.020833,0,0.043478,0,0,32750,0.025641,44107.917618,
Zion National Park,0.060241,0.050296,0.082873,0.036585,0.008772,0.133333,0.045977,0.144928,0.090909,0.206897,0.078947,0.058824,0.071429,0.06,0.014085,0.043478,0,0,0.15,0,0.0625,0,0.021739,0,0.032258,172231.9,0.019231,211134.954665,
Biscayne National Park,0.009036,0.002959,0.027624,0,0,0,0,0.014493,0,0.103448,0,0,0,0.02,0,0.130435,0,0,0.05,0.0625,0,0,0,0,0,32351.3,0.025641,28371.697256,
Carlsbad Caverns National Park,0.024096,0.04142,0.022099,0.054878,0.017544,0.033333,0.022989,0.043478,0,0.034483,0.026316,0.029412,0.095238,0.04,0.014085,0.043478,0.026316,0.246575,0.05,0,0.020833,0,0,0,0.064516,30064,0.025641,40388.798895,
Big Bend National Park,0.018072,0.005917,0.038674,0.006098,0.008772,0,0.022989,0.057971,0.045455,0.034483,0.052632,0.058824,0,0,0,0,0,0,0.05,0,0,0.008929,0,0,0,34197.4,0.044872,35043.205645,
Everglades National Park,0.024096,0.017751,0.060773,0.054878,0.035088,0,0.011494,0.057971,0.113636,0.137931,0.078947,0.029412,0,0,0,0.043478,0.078947,0,0.1,0.125,0,0.017857,0,0,0,97398.3,0.051282,67173.232091,
Guadalupe Mountains National Park,0.012048,0.005917,0.049724,0.012195,0.061404,0,0,0.014493,0.045455,0.068966,0.026316,0.029412,0,0,0,0,0,0,0.05,0,0,0,0,0,0,11240.2,0.025641,7339.184808,
Lassen Volcanic National Park,0.009036,0.008876,0.01105,0.012195,0.026316,0.011111,0,0.028986,0.045455,0.034483,0.026316,0,0,0,0,0,0,0,0.1,0,0.020833,0,0.021739,0,0,25148.9,0.025641,18880.305878,
Glacier Bay National Park,0.063253,0.056213,0.01105,0.054878,0.026316,0.088889,0.103448,0.014493,0.045455,0,0.105263,0.029412,0.095238,0.12,0.028169,0,0,0,0.1,0,0,0,0,0.2,0.193548,112054.6,0.128205,124860.655859,
Cuyahoga Valley National Park,0.039157,0.005917,0.044199,0,0.017544,0,0,0.057971,0.045455,0.206897,0,0,0,0.02,0.028169,0,0.026316,0,0,0.03125,0.020833,0,0,0,0,136751.8,0.025641,115823.154428,
Bryce Canyon National Park,0.322289,0.266272,0.243094,0.146341,0.078947,0.366667,0.574713,0.362319,0.204545,0.172414,0.289474,0.294118,0.452381,0.22,0.169014,0.130435,0.052632,0.041096,0.2,0.71875,0.354167,0.017857,0.108696,0.266667,0.096774,212958.5,0.038462,219470.099432,
Channel Islands National Park,0.003012,0,0.027624,0,0,0.022222,0,0,0.022727,0.034483,0,0,0,0,0.014085,0,0,0,0,0,0,0,0,0,0,13997.1,0.025641,18705.655014,
Indiana Dunes National Park,0.039157,0.002959,0.116022,0.012195,0,0,0,0,0,0.310345,0.026316,0,0.02381,0,0.014085,0.086957,0.052632,0,0.05,0,0,0,0.021739,0,0,69879.4,0.012821,84682.23692,
Pinnacles National Park,0.01506,0,0.022099,0,0.017544,0,0,0.014493,0.022727,0,0,0,0,0,0,0.043478,0,0.013699,0,0,0.041667,0,0.021739,0,0,13100.7,0.025641,10915.222003,
Cuyahoga Valley National Park,0.012048,0,0.044199,0.012195,0.008772,0.022222,0,0.014493,0.045455,0.206897,0,0.029412,0,0,0.014085,0,0,0,0.1,0.03125,0,0,0,0,0,135805,0.025641,97496.116444,
Big Bend National Park,0.003012,0,0.005525,0.006098,0.008772,0,0,0,0,0.034483,0,0,0,0,0,0.043478,0.026316,0,0,0,0,0,0,0,0,24230.1,0.038462,19577.867595,
Crater Lake National Park,0.162651,0.088757,0.055249,0.060976,0.105263,0.122222,0.103448,0.072464,0.113636,0.068966,0.105263,0.176471,0.095238,0.18,0.126761,0.086957,0.026316,0,0.05,0.09375,0,0,0.021739,0.066667,0.032258,44787.6,0.038462,50420.647784,
Grand Canyon National Park,0.189759,0.402367,0.232044,0.47561,0.166667,0.355556,0.264368,0.362319,0.454545,0.103448,0.552632,0.176471,0.380952,0.28,0.366197,0.173913,0.026316,0.205479,0.45,0,0.0625,0.428571,0.043478,0.5,0.322581,476194.8,0.051282,727489.102355,
Haleakala National Park,0.322289,0.372781,0.342541,0.262195,1,0.377778,0.321839,0.42029,0.295455,0.275862,0.289474,0.470588,0.238095,0.28,0.070423,0.304348,0.105263,0.027397,0.5,0.375,0.104167,0,0.891304,0.166667,0.193548,76462.5,0.025641,35609.172162,
Denali National Park,0.096386,0.059172,0.121547,0.103659,0.061404,0.144444,0.103448,0.115942,0.113636,0.068966,0.078947,0.058824,0.047619,0.06,0.014085,0.086957,0,0.082192,0.15,0.03125,0.020833,0,0,0.1,0.419355,567166.4,0.634615,560272.279174,
Channel Islands National Park,0.006024,0.002959,0.01105,0.006098,0,0,0,0.043478,0,0.034483,0,0,0.047619,0,0,0,0,0,0.05,0.03125,0,0,0,0,0,11907.9,0.025641,22888.287552,
Death Valley National Park,0.039157,0.035503,0.127072,0.054878,0.184211,0.122222,0.126437,0.115942,0.136364,0.206897,0.210526,0.029412,0.071429,0,0,0.086957,0.026316,0,0.05,0,0.020833,0,0.021739,0.066667,0.032258,95036.9,0.038462,80908.478436,
Sequoia National Park,0.03012,0.04142,0.033149,0.04878,0.017544,0.011111,0,0,0.068182,0.034483,0.026316,0.029412,0.071429,0,0.014085,0.043478,0,0.082192,0,0,0.020833,0,0,0.066667,0.064516,94431,0.038462,73445.804424,
Black Canyon Of The Gunnison National Park,0.018072,0.02071,0.016575,0.006098,0.035088,0.033333,0.011494,0.014493,0.068182,0.068966,0.026316,0.058824,0.071429,0.02,0.014085,0,0.026316,0,0.05,0.03125,0,0,0,0,0.032258,10297.1,0.025641,12266.723867,
Yosemite National Park,0.105422,0.044379,0.049724,0.04878,0.04386,0.1,0.08046,0.130435,0.113636,0.172414,0.026316,0.176471,0.02381,0.08,0.070423,0,0,0.013699,0.15,0,0.020833,0,0,0.1,0.064516,378757.7,0.051282,414837.838479,
Lassen Volcanic National Park,0.024096,0.005917,0.038674,0.030488,0.017544,0.011111,0.034483,0,0.022727,0.103448,0.026316,0.029412,0,0,0.028169,0,0.052632,0,0.1,0.03125,0,0,0,0,0,27361.5,0.025641,21058.866217,
American Samoa National Park,0.009036,0.002959,0.005525,0,0,0,0,0,0,0.103448,0.026316,0,0,0,0,0,0.026316,0,0.05,0.03125,0,0.008929,0,0,0,1690,0.025641,-3628.741658,
Grand Canyon National Park,0.551205,1,0.740331,1,0.429825,0.833333,0.793103,0.768116,0.863636,0.241379,0.947368,0.470588,0.738095,0.6,1,0.869565,0.105263,0.315068,1,0.1875,0.104167,0.955357,0.26087,0.9,1,584890.9,0.057692,446101.277595,
Petrified Forest National Park,0.268072,0.204142,0.19337,0.103659,0.315789,0.044444,0.149425,0.101449,0.136364,0.344828,0.157895,0.235294,0.119048,0.22,0.183099,0.304348,0.868421,0,0.1,0.34375,0,0.017857,0.043478,0.033333,0.032258,50032.4,0.025641,82715.106755,
Hot Springs National Park,0.054217,0.008876,0.055249,0.006098,0.026316,0,0,0.014493,0.090909,0.172414,0.026316,0,0,0,0,0.173913,0.315789,0,0.1,0.15625,0.020833,0,0,0.033333,0,97291,0.025641,82986.077935,
Channel Islands National Park,0.012048,0.005917,0.016575,0.006098,0.017544,0,0,0,0,0.034483,0,0.029412,0,0.02,0,0,0,0,0.05,0.03125,0,0,0,0,0,20248.6,0.025641,21000.785197,
Grand Teton National Park,0.129518,0.053254,0.071823,0.030488,0.026316,0.155556,0.218391,0.115942,0.068182,0.068966,0.131579,0.147059,0.047619,0.12,0.014085,0.043478,0,0,0.2,0,0.0625,0,0,0.133333,0.225806,589903.9,0.102564,590566.167274,
Denali National Park,0.03012,0.014793,0.077348,0.042683,0.026316,0.011111,0,0.043478,0,0.068966,0,0.029412,0.119048,0.04,0,0.086957,0,0.041096,0.1,0,0,0.008929,0.021739,0.1,0.225806,371501.1,0.602564,529013.504473,
Bryce Canyon National Park,0.35241,0.316568,0.292818,0.268293,0.105263,0.622222,0.54023,0.463768,0.272727,0.241379,0.315789,0.441176,0.47619,0.34,0.112676,0.173913,0.078947,0,0.2,0.625,0.604167,0,0.065217,0.333333,0.193548,200974.1,0.038462,129697.566001,
Kings Canyon National Park,0.039157,0.029586,0.044199,0.012195,0.026316,0.022222,0.011494,0.014493,0.045455,0.034483,0.052632,0.058824,0.047619,0,0,0.043478,0,0,0.1,0,0.020833,0,0.021739,0.033333,0.064516,42507.7,0.038462,51564.97976,
Capitol Reef National Park,0.024096,0.011834,0.016575,0.006098,0.026316,0.011111,0.034483,0.072464,0.068182,0.103448,0,0,0.071429,0,0.028169,0.043478,0.026316,0,0.05,0.03125,0.020833,0,0,0,0,44636.7,0.032051,80891.623952,
Congaree National Park,0.006024,0.011834,0.044199,0.012195,0.04386,0,0,0,0,0.137931,0.026316,0,0,0,0,0.043478,0.131579,0.068493,0,0.09375,0,0.008929,0,0,0,4370.2,0.019231,4306.178115,
Bryce Canyon National Park,0.087349,0.073964,0.066298,0.060976,0.035088,0.133333,0.08046,0.086957,0.136364,0.034483,0.052632,0.117647,0.095238,0.1,0.056338,0.043478,0.052632,0,0.2,0.15625,0.083333,0,0,0.1,0,108946.2,0.038462,114044.609254,
Grand Teton National Park,0.168675,0.029586,0.077348,0.036585,0.017544,0.2,0.091954,0.086957,0.113636,0.103448,0.078947,0.058824,0.02381,0.08,0.028169,0.043478,0,0.013699,0.15,0,0.083333,0,0,0.2,0.451613,489710.1,0.102564,532044.933311,
Glacier National Park,0.093373,0.047337,0.088398,0.097561,0.04386,0.188889,0.057471,0.101449,0.204545,0.137931,0.131579,0.205882,0.047619,0,0.014085,0.086957,0,0,0.1,0.03125,0,0,0.108696,0.066667,0,193345.6,0.038462,147283.256897,
